symbol,company,insider_name,category,quantity,value,type,trade_date,mode,exchange
PRICOLLTD,Pricol Limited,Pricol Engineering Industries Private Limited,Promoter Group,300000.0,69878820,Buy,01-Jun-2023,Market Purchase,BSE
PRICOLLTD,Pricol Limited,Pricol Engineering Industries Private Limited,Promoter Group,1200000.0,279675100,Buy,31-May-2023,Market Purchase,NSE
PRICOLLTD,Pricol Limited,Pricol Logistics Private Limited,Promoter Group,182000.0,42912925,Buy,02-Jun-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,20000.0,2600000,Buy,01-Jun-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,20000.0,2595000,Buy,01-Jun-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,20000.0,2604000,Buy,01-Jun-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,20000.0,2608000,Buy,01-Jun-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,20000.0,2612000,Buy,01-Jun-2023,Market Purchase,NSE
LGHL,Laxmi Goldorna House Limited,BADAL JAYESHKUMAR SHAH,Promoter Group,8000.0,236071,Buy,02-Jun-2023,Market Purchase,NSE
SDBL,Som Distilleries & Breweries Limited,DEEPAK ARORA,Promoters,10000.0,2294450,Buy,02-Jun-2023,Market Purchase,NSE
TMB,Tamilnad Mercantile Bank Limited,A.Radhika,Immediate relative,6289.0,2604915,Buy,29-May-2023,Market Purchase,NSE
PENIND,Pennar Industries Limited,ADITYA NARSING RAO,Promoters,22000.0,1515803,Buy,01-Jun-2023,Market Purchase,NSE
ASIANENE,Asian Energy Services Limited,Oilmax Energy Private Limited,Promoters,38455.0,4140065,Buy,02-Jun-2023,Market Purchase,NSE
HCG,Healthcare Global Enterprises Limited,ACESO COMPANY PTE LTD,Promoters,3575000.0,1144000000,Buy,01-Jun-2023,Market Purchase,NSE
PSPPROJECT,PSP Projects Limited,PRAHALADBHAI SHIVRAMBHAI PATEL,Promoters,25000.0,18034548,Buy,30-May-2023,Market Purchase,NSE
PRAKASHSTL,Prakash Steelage Limited,PRAKASH CHHAGANLAL KANUGO,Promoters,5000.0,22000,Buy,01-Jun-2023,Market Purchase,NSE
ADVENZYMES,Advanced Enzyme Technologies Limited,Rasika Rathi,Promoter Group,10000.0,2750000,Buy,29-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,Promoter Group,24852.0,3099910,Buy,30-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,Promoter Group,25000.0,3112542,Buy,31-May-2023,Market Purchase,NSE
KDDL,KDDL Limited,SABOO VENTURES LLP,Promoter Group,10925.0,11864222,Buy,29-May-2023,Market Purchase,NSE
GMRAIRPORT,GMR AIRPORTS LIMITED,Varalakshmi Enterprises LLP,Promoter Group,3500000.0,143194076,Buy,30-May-2023,Market Purchase,NSE
GMRAIRPORT,GMR AIRPORTS LIMITED,Varalakshmi Enterprises LLP,Promoter Group,1000000.0,41019805,Buy,31-May-2023,Market Purchase,NSE
MOL,Meghmani Organics Limited,RAMESHBHAI MEGHJIBHAI PATEL,Promoters,50000.0,4102050,Buy,30-May-2023,Market Purchase,NSE
EPIGRAL,Epigral Limited,RAMESHBHAI MEGHJIBHAI PATEL,Promoters,5000.0,4602296,Buy,30-May-2023,Market Purchase,NSE
TMB,Tamilnad Mercantile Bank Limited,P.C.G.Asok Kumar,Director,2775.0,1146544,Buy,24-May-2023,Market Purchase,NSE
TMB,Tamilnad Mercantile Bank Limited,G.A.Vignesh,Immediate relative,6531.0,2714249,Buy,24-May-2023,Market Purchase,NSE
TIMETECHNO,Time Technoplast Limited,Time Securities Services Private Limited,-,502110.0,48670723,Buy,01-Jun-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,AANAL P. BHAGWATI,Immediate relative,946.0,1342563,Buy,30-May-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,BHAGWATI SPHEROCAST PRIVATE LIMITED,Other,880.0,1248687,Buy,30-May-2023,Market Purchase,NSE
